,CELL_LINE_NAME,DRUG_NAME,MAX_CONC_MICROMOLAR,IC50
213,CRO-AP2,Docetaxel,0.0125,0.006011055
214,COR-L88,Docetaxel,0.0125,0.067794243
215,COLO-824,Docetaxel,0.0125,0.007008602
216,COLO-800,Docetaxel,0.0125,0.000570959
217,COLO-741,Docetaxel,0.0125,0.009500698
218,COLO-680N,Docetaxel,0.0125,0.010832472
219,COLO-679,Docetaxel,0.0125,0.003634706
220,CHP-212,Docetaxel,0.0125,0.007670657
221,CFPAC-1,Docetaxel,0.0125,0.00669005
222,CCF-STTG1,Docetaxel,0.0125,0.01220696
223,Ca-Ski,Docetaxel,0.0125,0.000615244
224,CAL-120,Docetaxel,0.0125,0.00390287
225,CAL-72,Docetaxel,0.0125,0.000132832
226,CAL-62,Docetaxel,0.0125,0.000603761
227,C32,Docetaxel,0.0125,0.006241917
228,Daudi,Docetaxel,0.0125,0.104808437
229,DB,Docetaxel,0.0125,0.004363695
230,Daoy,Docetaxel,0.0125,0.000990886
231,D-283MED,Docetaxel,0.0125,0.005374869
232,DBTRG-05MG,Docetaxel,0.0125,0.002064249
233,DEL,Docetaxel,0.0125,0.031435326
234,Detroit562,Docetaxel,0.0125,0.001271206
235,DG-75,Docetaxel,0.0125,0.005745628
236,DK-MG,Docetaxel,0.0125,0.038297717
237,DJM-1,Docetaxel,0.0125,0.001641981
238,DOHH-2,Docetaxel,0.0125,0.005548997
239,DoTc2-4510,Docetaxel,0.0125,0.006344284
240,DU-4475,Docetaxel,0.0125,0.016651899
241,EB2,Docetaxel,0.0125,0.132365929
242,EB-3,Docetaxel,0.0125,0.256471431
243,ECC10,Docetaxel,0.0125,0.006302796
244,EFM-19,Docetaxel,0.0125,0.001311689
245,EFO-27,Docetaxel,0.0125,0.001299154
246,EGI-1,Docetaxel,0.0125,0.004544421
247,EHEB,Docetaxel,0.0125,0.068571108
248,EM-2,Docetaxel,0.0125,0.004756815
249,EoL-1-cell,Docetaxel,0.0125,0.005159596
250,ETK-1,Docetaxel,0.0125,0.001029074
251,EVSA-T,Docetaxel,0.0125,0.002156987
252,FADU,Docetaxel,0.0125,0.001345748
253,FTC-133,Docetaxel,0.0125,0.000522021
254,G-361,Docetaxel,0.0125,0.006197713
255,GCIY,Docetaxel,0.0125,0.028693634
256,GDM-1,Docetaxel,0.0125,0.107877603
257,GI-1,Docetaxel,0.0125,0.000605025
258,GI-ME-N,Docetaxel,0.0125,0.004077978
259,GMS-10,Docetaxel,0.0125,0.001243774
260,GOTO,Docetaxel,0.0125,0.003063145
261,GR-ST,Docetaxel,0.0125,0.038353059
262,ESS-1,Docetaxel,0.0125,0.002208937
263,H4,Docetaxel,0.0125,0.002563945
264,H9,Docetaxel,0.0125,0.011069087
265,HC-1,Docetaxel,0.0125,0.032204986
266,HCC1419,Docetaxel,0.0125,0.1142177
267,HCC1569,Docetaxel,0.0125,0.114064979
268,HCC70,Docetaxel,0.0125,0.002301254
269,HD-MY-Z,Docetaxel,0.0125,0.001387853
270,HEC-1,Docetaxel,0.0125,0.003206462
271,HGC-27,Docetaxel,0.0125,0.000656543
272,HH,Docetaxel,0.0125,0.048798339
273,HMV-II,Docetaxel,0.0125,0.029751105
274,HN,Docetaxel,0.0125,0.001024039
275,HOS,Docetaxel,0.0125,0.00122045
276,HSC-4,Docetaxel,0.0125,0.000380921
277,HT,Docetaxel,0.0125,0.016789577
278,HT-1080,Docetaxel,0.0125,0.000549458
279,HT-1197,Docetaxel,0.0125,0.016217733
280,HT-1376,Docetaxel,0.0125,0.033480738
281,HT-3,Docetaxel,0.0125,0.002491757
282,HuCCT1,Docetaxel,0.0125,0.005146456
283,HUH-6-clone5,Docetaxel,0.0125,0.011690205
284,HuH-7,Docetaxel,0.0125,0.012140625
285,HuO9,Docetaxel,0.0125,0.003851911
286,HuTu-80,Docetaxel,0.0125,0.001193394
287,IGR-1,Docetaxel,0.0125,0.006405969
288,IMR-5,Docetaxel,0.0125,0.021442936
289,IPC-298,Docetaxel,0.0125,0.001954232
290,IST-MEL1,Docetaxel,0.0125,0.002946153
291,JEG-3,Docetaxel,0.0125,0.003434177
292,JiyoyeP-2003,Docetaxel,0.0125,0.017210132
293,JVM-2,Docetaxel,0.0125,0.088302752
294,JVM-3,Docetaxel,0.0125,0.002833207
295,KARPAS-45,Docetaxel,0.0125,0.019566703
296,KARPAS-299,Docetaxel,0.0125,0.011856975
297,KARPAS-422,Docetaxel,0.0125,0.036610214
298,KASUMI-1,Docetaxel,0.0125,0.038317215
299,KATOIII,Docetaxel,0.0125,0.007231419
300,KE-37,Docetaxel,0.0125,0.015310705
301,KINGS-1,Docetaxel,0.0125,0.001295936
302,KMOE-2,Docetaxel,0.0125,0.012584064
303,KMS-12-BM,Docetaxel,0.0125,0.00303019
304,KNS-42,Docetaxel,0.0125,0.004235614
305,HuP-T3,Docetaxel,0.0125,0.005387154
306,HuP-T4,Docetaxel,0.0125,0.00443186
307,HT55,Docetaxel,0.0125,0.0108487
308,HT-115,Docetaxel,0.0125,0.019911954
309,DMS-53,Docetaxel,0.0125,0.256045274
310,G-402,Docetaxel,0.0125,0.000943256
311,G-401,Docetaxel,0.0125,0.001519808
312,KY821,Docetaxel,0.0125,0.016922689
313,KU812,Docetaxel,0.0125,0.017899903
314,KU-19-19,Docetaxel,0.0125,0.017550602
315,KS-1,Docetaxel,0.0125,0.001900094
316,KP-N-YN,Docetaxel,0.0125,0.030563799
317,KYSE-150,Docetaxel,0.0125,0.006349425
318,KYSE-450,Docetaxel,0.0125,0.001427154
319,KYSE-510,Docetaxel,0.0125,0.001131093
320,L-428,Docetaxel,0.0125,0.142149068
321,L-540,Docetaxel,0.0125,0.016264264
322,J-RT3-T3-5,Docetaxel,0.0125,0.002972892
323,LAMA-84,Docetaxel,0.0125,0.033042026
324,LC4-1,Docetaxel,0.0125,0.221257522
325,LOUCY,Docetaxel,0.0125,0.008700046
326,LoVo,Docetaxel,0.0125,0.011947551
327,LP-1,Docetaxel,0.0125,0.095281082
328,LS-123,Docetaxel,0.0125,0.008857382
329,LS-411N,Docetaxel,0.0125,0.003382037
330,LS-513,Docetaxel,0.0125,0.033787343
331,MC-1010,Docetaxel,0.0125,0.007418599
332,MC116,Docetaxel,0.0125,0.00924947
333,MC-IXC,Docetaxel,0.0125,0.001004716
334,MDA-MB-175-VII,Docetaxel,0.0125,0.046268865
335,MDA-MB-361,Docetaxel,0.0125,0.00408812
336,MDA-MB-453,Docetaxel,0.0125,0.004615325
337,MDA-MB-468,Docetaxel,0.0125,0.005713726
338,MEL-HO,Docetaxel,0.0125,0.001060265
